Id,UpperDepth,LowerDepth,Value,Lambda,tsme
13124,100,200,23.6087292098131,0.1,0.348366947009397
13129,0,5,9.88384008512723,0.1,4.03050319837279
13129,5,15,10.5618604578085,0.1,4.03050319837279
13129,15,30,12.5310942336053,0.1,4.03050319837279
13129,30,60,21.5271228542686,0.1,4.03050319837279
13129,60,100,18.2593177304657,0.1,4.03050319837279
13129,100,200,-9999,0.1,4.03050319837279
13132,0,5,8.03949170401654,0.1,0.141784350759418
13132,5,15,7.7744036408055,0.1,0.141784350759418
13132,15,30,7.17551459652837,0.1,0.141784350759418
13132,30,60,8.26361377456573,0.1,0.141784350759418
13132,60,100,10.8800823881323,0.1,0.141784350759418
13132,100,200,18.3275262551373,0.1,0.141784350759418
13137,0,5,8.07320417612132,0.1,6.93666802314645
13137,5,15,7.58182114390694,0.1,6.93666802314645
13137,15,30,7.30686749816809,0.1,6.93666802314645
13137,30,60,20.1773203057621,0.1,6.93666802314645
13137,60,100,26.9950382180271,0.1,6.93666802314645
13137,100,200,26.6055177668179,0.1,6.93666802314645
13139,0,5,10.5495858677062,0.1,0.116064873135309
13139,5,15,13.1786335746822,0.1,0.116064873135309
13139,15,30,20.1913853436685,0.1,0.116064873135309
13139,30,60,29.9828502977588,0.1,0.116064873135309
13139,60,100,23.8561471363946,0.1,0.116064873135309
13139,100,200,-9999,0.1,0.116064873135309
13140,0,5,30.6446948161509,0.1,0.0612528506385816
13140,5,15,33.0296808627379,0.1,0.0612528506385816
13140,15,30,39.6195819819447,0.1,0.0612528506385816
13140,30,60,55.3359698519243,0.1,0.0612528506385816
13140,60,100,68.5771547492761,0.1,0.0612528506385816
13140,100,200,72.4790272199674,0.1,0.0612528506385816
13141,0,5,62.1002024542701,0.1,0.0050272586937196
13141,5,15,61.582810935587,0.1,0.0050272586937196
13141,15,30,60.3138947446636,0.1,0.0050272586937196
13141,30,60,60.5678854795722,0.1,0.0050272586937196
13141,60,100,63.2364253666111,0.1,0.0050272586937196
13141,100,200,64.0227850886708,0.1,0.0050272586937196
13142,0,5,57.5767618005686,0.1,0.0415981061244233
13142,5,15,NaN,0.1,0.0415981061244233
13142,15,30,NaN,0.1,0.0415981061244233
13142,30,60,64.8490938730054,0.1,0.0415981061244233
13142,60,100,69.0460509129244,0.1,0.0415981061244233
13142,100,200,66.1424580671784,0.1,0.0415981061244233
13144,0,5,61.6151748770828,0.1,0.0250555946223574
13144,5,15,63.6022045982993,0.1,0.0250555946223574
13144,15,30,68.7352429964002,0.1,0.0250555946223574
13144,30,60,72.8145153171225,0.1,0.0250555946223574
13144,60,100,69.859025184405,0.1,0.0250555946223574
